region,variety,process,moisture,elevation,target
tarrazu,Caturra,Washed / Wet,0.0900,high,good
tarrazu,Caturra,Washed / Wet,0.0000,high,good
tarrazu,Caturra,Washed / Wet,0.0000,high,good
tarrazu,Caturra,Washed / Wet,0.1100,high,poor
tarrazu,Caturra,Washed / Wet,0.1100,low,fair
tarrazu,Caturra,Washed / Wet,0.0000,high,fair
tarrazu,Caturra,Washed / Wet,0.0900,high,fair
tarrazu,Caturra,Washed / Wet,0.0900,high,fair
tarrazu,Caturra,Washed / Wet,0.1000,high,fair
tres rios,Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
tres rios,Caturra,Washed / Wet,0.0000,mid,fair
tres rios,Caturra,Washed / Wet,0.0900,mid,fair
tres rios,Caturra,Washed / Wet,0.1100,mid,fair
turrialba,Caturra,Washed / Wet,0.1200,low,fair
turrialba,Caturra,Washed / Wet,0.1100,low,poor
valle central,Caturra,Washed / Wet,0.1000,mid,good
west and central valley,Caturra,Washed / Wet,0.0000,mid,great
west valley,Catuai,Washed / Wet,0.1100,mid,good
west valley,Caturra,Washed / Wet,0.0000,mid,great
apaneca,Bourbon,Natural / Dry,0.1100,mid,great
apaneca,Bourbon,Washed / Wet,0.1000,mid,great
apaneca,Bourbon,Washed / Wet,0.0000,mid,great
apaneca,Bourbon,Washed / Wet,0.1200,mid,good
apaneca,Bourbon,Washed / Wet,0.0000,mid,poor
apaneca,Bourbon,Washed / Wet,0.1100,mid,fair
apaneca,Bourbon,Washed / Wet,0.0000,mid,fair
apaneca,Bourbon,Washed / Wet,0.0000,mid,fair
"ataco, apaneca - ilamatepec mountain range",Bourbon,Semi-washed / Semi-pulped,0.1100,mid,great
cacahuatique,Bourbon,Washed / Wet,0.0000,mid,poor
cacahuatique,Bourbon,Washed / Wet,0.0000,mid,good
"department of ahuachapan, municipality of apanecallamatepec mountain",Bourbon,Washed / Wet,0.0000,mid,poor
"el balsamo, quezaltepec",Bourbon,Washed / Wet,0.1100,mid,good
"el balsamo, quezaltepec",Pacas,Washed / Wet,0.0000,mid,good
"el balsamo, quezaltepec",Pacas,Washed / Wet,0.0000,mid,good
"ethiopia, sidamo",Other,Natural / Dry,0.0900,high,great
guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.1200,high,great
guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.1200,high,great
guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.1200,high,great
guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.0000,high,good
kafa,Gesha,Natural / Dry,0.1000,high,great
kafa,Gesha,Natural / Dry,0.1000,high,great
oromia,oromia,Natural / Dry,0.1100,high,great
oromia,oromia,Natural / Dry,0.0300,high,great
oromia,oromia,Natural / Dry,0.0300,high,great
oromia,oromia,Natural / Dry,0.1000,high,great
oromia,oromia,Natural / Dry,0.0500,high,great
oromia,oromia,Natural / Dry,0.1000,high,great
oromia,oromia,Natural / Dry,0.1200,high,great
oromia,oromia,Natural / Dry,0.1200,high,good
oromia,oromia,Natural / Dry,0.1000,mid,good
oromia,oromia,Washed / Wet,0.1000,high,great
oromia,oromia,Washed / Wet,0.1000,high,great
sidamo,Gesha,Natural / Dry,0.1100,high,good
sidamo,yirgacheffe,Natural / Dry,0.0100,high,great
sidamo,yirgacheffe,Natural / Dry,0.1000,high,great
sidamo,yirgacheffe,Natural / Dry,0.1000,high,great
sidamo,yirgacheffe,Natural / Dry,0.2000,high,good
sidamo,yirgacheffe,Natural / Dry,0.0900,mid,good
yirgacheffe,yirgacheffe,Washed / Wet,0.1000,high,great
yirgacheffe,yirgacheffe,Washed / Wet,0.0000,high,good
acatenango,Bourbon,Washed / Wet,0.1200,mid,great
acatenango,Bourbon,Washed / Wet,0.1000,mid,great
acatenango,Bourbon,Washed / Wet,0.1200,mid,great
"aldea xeucalvitz, ixil region, quiche department",Bourbon,Washed / Wet,0.1000,mid,good
antigua,Bourbon,Washed / Wet,0.1100,mid,good
antigua,Bourbon,Washed / Wet,0.1100,mid,good
antigua,Bourbon,Washed / Wet,0.1100,mid,good
antigua,Bourbon,Washed / Wet,0.1000,mid,good
antigua,Bourbon,Washed / Wet,0.1000,mid,fair
antigua,Bourbon,Washed / Wet,0.1000,mid,good
antigua,Bourbon,Washed / Wet,0.1100,mid,fair
antigua,Bourbon,Washed / Wet,0.1100,mid,fair
antigua,Caturra,Natural / Dry,0.1000,mid,great
antigua,Caturra,Washed / Wet,0.1000,mid,good
antigua,Caturra,Washed / Wet,0.1000,mid,good
antigua,Caturra,Washed / Wet,0.1100,mid,good
antigua,Caturra,Washed / Wet,0.1100,mid,good
antigua,Caturra,Washed / Wet,0.1100,mid,good
atitlan,Bourbon,Washed / Wet,0.0900,mid,fair
atitlan,Caturra,Washed / Wet,0.1000,mid,fair
atitlan,Caturra,Washed / Wet,0.1000,mid,good
atitlan,Caturra,Washed / Wet,0.1000,mid,fair
